alpha3_code,country,alpha2_code,num_of_weather_station,area_km2,num_of_provinces,region,subregion,timezones,latlng
ALB,Albania,AL,8,28748,37,Europe,Southern Europe,['UTC+01:00'],"[41, 20]"
DZA,Algeria,DZ,12,2381741,48,Africa,Northern Africa,['UTC+01:00'],"[28, 3]"
ARG,Argentina,AR,32,2780400,25,Americas,South America,['UTC−03:00'],"[-34, -64]"
AUS,Australia,AU,36,7692024,8,Oceania,Australia and New Zealand,"['UTC+05:00', 'UTC+06:30', 'UTC+07:00', 'UTC+08:00', 'UTC+09:30', 'UTC+10:00', 'UTC+10:30', 'UTC+11:30']","[-27, 133]"
AUT,Austria,AT,40,83871,9,Europe,Western Europe,['UTC+01:00'],"[47.33333333, 13.33333333]"
BGD,Bangladesh,BD,50,147570,8,Asia,Southern Asia,['UTC+06:00'],"[24, 90]"
BEL,Belgium,BE,56,30528,11,Europe,Western Europe,['UTC+01:00'],"[50.83333333, 4]"
BOL,Bolivia,BO,68,1098581,9,Americas,South America,['UTC−04:00'],"[-17, -65]"
BIH,Bosnia and Herzegovina,BA,70,51209,2,Europe,Southern Europe,['UTC+01:00'],"[44, 18]"
BRA,Brazil,BR,76,8515767,27,Americas,South America,"['UTC−05:00', 'UTC−04:00', 'UTC−03:00', 'UTC−02:00']","[-10, -55]"
BGR,Bulgaria,BG,100,110879,28,Europe,Eastern Europe,['UTC+02:00'],"[43, 25]"
CAN,Canada,CA,124,9984670,13,Americas,Northern America,"['UTC−08:00', 'UTC−07:00', 'UTC−06:00', 'UTC−05:00', 'UTC−04:00', 'UTC−03:30']","[60, -95]"
CHN,China,CN,156,9640011,31,Asia,Eastern Asia,['UTC+08:00'],"[35, 105]"
HRV,Croatia,HR,191,56594,21,Europe,Southern Europe,['UTC+01:00'],"[45.16666666, 15.5]"
CYP,Cyprus,CY,196,9251,6,Europe,Southern Europe,['UTC+02:00'],"[35, 33]"
CZE,Czech Republic,CZ,203,78865,14,Europe,Eastern Europe,['UTC+01:00'],"[49.75, 15.5]"
EGY,Egypt,EG,818,1002450,26,Africa,Northern Africa,['UTC+02:00'],"[27, 30]"
FRA,France,FR,250,640679,22,Europe,Western Europe,"['UTC−10:00', 'UTC−09:30', 'UTC−09:00', 'UTC−08:00', 'UTC−04:00', 'UTC−03:00', 'UTC+01:00', 'UTC+03:00', 'UTC+04:00', 'UTC+05:00', 'UTC+11:00', 'UTC+12:00']","[46, 2]"
DEU,Germany,DE,276,357114,16,Europe,Western Europe,['UTC+01:00'],"[51, 9]"
GRC,Greece,GR,300,131990,52,Europe,Southern Europe,['UTC+02:00'],"[39, 22]"
HUN,Hungary,HU,348,93028,1,Europe,Eastern Europe,['UTC+01:00'],"[47, 20]"
IND,India,IN,356,3287590,36,Asia,Southern Asia,['UTC+05:30'],"[20, 77]"
IRN,Iran,IR,364,1648195,28,Asia,Southern Asia,['UTC+03:30'],"[32, 53]"
ISR,Israel,IL,376,20770,6,Asia,Western Asia,['UTC+02:00'],"[31.5, 34.75]"
ITA,Italy,IT,380,301336,20,Europe,Southern Europe,['UTC+01:00'],"[42.83333333, 12.83333333]"
JPN,Japan,JP,392,377930,47,Asia,Eastern Asia,['UTC+09:00'],"[36, 138]"
JOR,Jordan,JO,400,89342,12,Asia,Western Asia,['UTC+03:00'],"[31, 36]"
PRK,North Korea,KP,408,120538,12,Asia,Eastern Asia,['UTC+09:00'],"[40, 127]"
KOR,South Korea,KR,410,100210,16,Asia,Eastern Asia,['UTC+09:00'],"[37, 127.5]"
LTU,Lithuania,LT,440,65300,54,Europe,Northern Europe,['UTC+02:00'],"[56, 24]"
LUX,Luxembourg,LU,442,2586,3,Europe,Western Europe,['UTC+01:00'],"[49.75, 6.16666666]"
MEX,Mexico,MX,484,1964375,32,Americas,Central America,"['UTC−08:00', 'UTC−07:00', 'UTC−06:00']","[23, -102]"
MAR,Morocco,MA,504,446550,39,Africa,Northern Africa,['UTC'],"[32, -5]"
NPL,Nepal,NP,524,147181,14,Asia,Southern Asia,['UTC+05:45'],"[28, 84]"
NLD,Netherlands,NL,528,41850,12,Europe,Western Europe,,"[52.5, 5.75]"
NZL,New Zealand,NZ,554,270467,105,Oceania,Australia and New Zealand,"['UTC−11:00', 'UTC−10:00', 'UTC+12:00', 'UTC+12:45', 'UTC+13:00']","[-41, 174]"
NGA,Nigeria,NG,566,923768,37,Africa,Western Africa,['UTC+01:00'],"[10, 8]"
PAK,Pakistan,PK,586,881912,6,Asia,Southern Asia,['UTC+05:00'],"[30, 70]"
PER,Peru,PE,604,1285216,25,Americas,South America,['UTC−05:00'],"[-10, -76]"
PRT,Portugal,PT,620,92090,20,Europe,Southern Europe,"['UTC−01:00', 'UTC']","[39.5, -8]"
MKD,Republic of Macedonia,MK,807,25713,123,Europe,Southern Europe,['UTC+01:00'],"[41.83333333, 22]"
ROU,Romania,RO,642,238391,41,Europe,Eastern Europe,['UTC+02:00'],"[46, 25]"
RUS,Russian Federation,RU,643,17124442,89,Europe,Eastern Europe,"['UTC+03:00', 'UTC+04:00', 'UTC+06:00', 'UTC+07:00', 'UTC+08:00', 'UTC+09:00', 'UTC+10:00', 'UTC+11:00', 'UTC+12:00']","[60, 100]"
SRB,Serbia,RS,688,49037,29,Europe,Eastern Europe,"['UTC+01:00', 'UTC+02:00']","[44.1305021, 16.4284181]"
SVK,Slovakia,SK,703,49037,8,Europe,Eastern Europe,['UTC+01:00'],"[48.66666666, 19.5]"
SVN,Slovenia,SI,705,20273,147,Europe,Southern Europe,['UTC+01:00'],"[46.11666666, 14.81666666]"
ZAF,South Africa,ZA,710,1221037,9,Africa,Southern Africa,['UTC+02:00'],"[-29, 24]"
ESP,Spain,ES,724,505992,50,Europe,Southern Europe,"['UTC', 'UTC+01:00']","[40, -4]"
SDN,Sudan,SD,729,1886068,26,Africa,Northern Africa,['UTC+03:00'],"[15, 30]"
CHE,Switzerland,CH,756,41284,26,Europe,Western Europe,['UTC+01:00'],"[47, 8]"
TUR,Turkey,TR,792,783562,81,Asia,Western Asia,['UTC+02:00'],"[39, 35]"
GBR,United Kingdom,GB,826,242900,149,Europe,Northern Europe,"['UTC−08:00', 'UTC−05:00', 'UTC−04:00', 'UTC−03:00', 'UTC−02:00', 'UTC', 'UTC+01:00', 'UTC+02:00', 'UTC+06:00']","[54, -2]"
USA,United States of America,US,840,9629091,51,Americas,Northern America,"['UTC−12:00', 'UTC−11:00', 'UTC−10:00', 'UTC−09:00', 'UTC−08:00', 'UTC−07:00', 'UTC−06:00', 'UTC−05:00', 'UTC−04:00', 'UTC+10:00', 'UTC+12:00']","[38, -97]"
